Distance_(pixels),IMG_6561,IMG_6562,IMG_6563,IMG_6564,IMG_6565,IMG_6566,IMG_6567,Average
119,7.06,5.933,0.1933,11.46,3.527,9.007,37.24,10.63147143
120,5.833,6.053,0.1533,11.573,4.2,8.68,36.513,10.42932857
121,5.647,6.167,0.1667,11.7,4.627,9.013,37.067,10.62681429
122,5.353,6.007,0.1933,11.733,4.94,8.56,37.44,10.60375714
123,5.633,5.653,0.1933,12.327,4.813,7.353,37.553,10.50361429
124,6.26,5.353,0.1867,12.64,4.273,6.433,37.12,10.32367143
125,7.12,5.093,0.2,12.56,4.387,6.533,36.633,10.36085714
126,7.407,4.793,0.2,11.927,4.84,7.56,36.367,10.442
127,7.327,4.613,0.1867,12.18,5.433,8.487,36.4,10.66095714
128,7.707,4.22,0.1533,12.653,5.687,8.78,37.087,10.89818571
129,7.967,4.04,0.1267,11.807,5.82,8.367,36.853,10.71152857
130,8.06,4.147,0.1267,11.4,5.507,7.647,36.147,10.43352857
131,7.987,4.653,0.1333,11.66,5.113,7.013,36.08,10.37704286
132,8.22,4.86,0.1667,11.82,5.107,6.847,36.08,10.44295714
133,8.287,4.6,0.18,12.807,5.22,7.08,36.16,10.61914286
134,7.387,3.887,0.08,13.213,5.227,7.38,35.827,10.42871429
135,6.333,3.547,0.1067,12.64,4.953,7.707,35.7,10.14095714
136,5.553,3.787,0.1867,12.707,5.32,8.487,35.607,10.23538571
137,5.273,3.433,0.1867,12.267,5.993,8.273,35.453,10.12552857
138,5.32,2.973,0.22,12.14,6.273,7.96,35.607,10.07042857
139,5.32,3.147,0.2467,12.46,5.953,7.613,35.827,10.08095714
140,5.287,3.74,0.26,12.147,5.373,6.827,35.46,9.870571429
141,5.84,4.133,0.2933,11.18,5.18,6.327,34.713,9.666614286
142,6.307,4.067,0.3,10.273,4.64,6.56,34.093,9.462857143
143,6.48,3.833,0.28,10.047,4.073,7.14,34.32,9.453285714
144,7.48,4.207,0.1067,11.153,4.873,8.347,35.773,10.2771
145,6.773,3.88,0.1333,11.827,5.133,8.107,34.013,9.9809
146,6.313,3.513,0.14,12.32,5.627,7.86,33.393,9.880857143
147,6.333,3.267,0.22,12.9,5.387,7.727,34.227,10.00871429
148,6.507,3.107,0.2467,13.847,5.747,7.867,35.38,10.38595714
149,6.587,2.907,0.1933,15.047,5.847,7.72,35.273,10.51061429
150,6.64,2.867,0.2,15.44,5.947,7.533,34.213,10.40571429
151,6.953,2.887,0.1867,15.207,6.007,7.2,33.007,10.20681429
152,7.433,3.467,0.1933,14.853,5.807,7.4,33.44,10.37047143
153,7.54,4,0.1067,16.02,5.447,7.08,33.58,10.5391
154,7.293,4.56,0.08,16.14,5.467,6.927,33.433,10.55714286
155,6.927,4.973,0.08,15.133,5.6,7.273,33.107,10.44185714
156,6.82,5.467,0.14,14.273,5.467,7.667,32.873,10.38671429
157,7.313,6.367,0.1933,13.58,5.467,7.553,33.68,10.59332857
158,7.893,6.407,0.0867,13.233,4.967,7.06,33.82,10.49524286
159,8.467,5.933,0.0867,13.447,4.467,6.573,32.873,10.26381429
160,8.827,4.367,0.0467,14.067,5.28,6.167,32.767,10.21738571
161,8.513,3.447,0.0867,13.42,6.167,6.313,32.687,10.09052857
162,8.013,2.753,0.1533,12.5,6.847,6.64,32.773,9.954185714
163,7.373,2.713,0.14,11.687,6.727,6.7,32.5,9.691428571
164,6.653,2.64,0.1467,10.787,6.44,6.74,31.92,9.332385714
165,6.407,2.02,0.2067,9.7,6.127,6.973,32.347,9.111528571
166,6.473,1.707,0.2,9.373,5.24,7.58,32.973,9.078
167,6.833,1.793,0.22,9.487,4.387,8.053,32.893,9.095142857
168,7.073,2.487,0.2,12.14,4.28,7.853,32.913,9.563714286
169,7.107,2.747,0.16,11.74,4.307,6.987,32.927,9.425
170,6.847,3.047,0.1067,11.78,4.82,6.42,32.327,9.335385714
171,6.613,3.113,0.1533,12.12,5.5,6.947,31.507,9.4219
172,6.953,2.473,0.1133,11.453,5.727,8.313,31.193,9.460757143
173,7.287,1.64,0.1667,10.3,6.18,9.08,30.767,9.345814286
174,7.267,1.407,0.18,9.82,6.633,8.573,30.367,9.178142857
175,7.08,1.487,0.14,10.4,6.613,7.527,30.753,9.142857143
176,7.04,1.98,0.0667,11.087,6.493,6.653,31.08,9.199957143
177,6.96,2.547,0.0667,10.773,6.68,6.513,30.467,9.143814286
178,6.9,2.993,0.0667,10.513,6.687,6.707,29.68,9.0781
179,6.58,3.347,0.0667,11.18,6.22,7.327,29.56,9.182957143
180,6.033,3.733,0.04,12.36,6.02,7.813,29.707,9.386571429
181,5.687,3.967,0.0267,13.52,5.88,7.967,30.06,9.586814286
182,5.413,4.02,0.04,13.147,5.7,8.233,30.033,9.512285714
183,5.573,4.113,0.08,12.653,5.487,8.68,30.173,9.537
184,6.267,4.147,0.04,12.12,5.533,9,29.28,9.483857143
185,6.593,4.187,0.04,11.627,5.433,8.66,29.213,9.393285714
186,7.593,3.987,0.06,10.993,5.253,8.08,29.093,9.294142857
187,8.027,3.493,0.06,10.613,5.38,7.687,29.353,9.230428571
188,7.753,3.22,0.06,10.513,6.18,7.673,29.533,9.276
189,8.033,3.427,0.06,11.587,7.093,7.613,29.533,9.620857143
190,7.58,3.307,0.06,11.713,6.873,7.613,29.133,9.468428571
191,6.333,3.2,0.06,10.927,6.267,7.653,28.753,9.027571429
192,4.993,3.3,0.12,10.613,5.613,8.38,28.767,8.826571429
193,5.28,3.933,0.0533,10.973,5.487,8.113,28.587,8.918042857
194,5.82,4.28,0.0467,11.433,4.9,7.767,28.96,9.029528571
195,6.34,3.94,0.14,11.767,4.627,7.34,28.953,9.015285714
196,6.913,3.52,0.1667,11.407,4.88,7.307,28.533,8.960957143
197,7.473,2.813,0.1667,11.113,5.687,7.453,28.973,9.096957143
198,7.48,2.647,0.2133,10.627,5.987,7.607,29.3,9.123042857
199,7.18,2.553,0.32,10.273,5.867,7.787,28.373,8.907571429
200,7.033,2.987,0.0933,10.167,5.947,7.72,27.867,8.830614286
201,8.52,3.42,0.08,9.887,6.3,7.94,28.04,9.169571429
202,9.72,3.813,0.0667,9.66,5.993,8.12,28.233,9.372242857
203,9.447,3.847,0.0533,10.06,4.8,7.847,28.393,9.206757143
204,7.807,3.533,0.1133,10.327,4.107,7.58,28.287,8.822042857
205,6.54,3.007,0.1467,10.287,4.08,7.613,27.673,8.4781
206,5.713,2.607,0.1333,9.58,4.167,7.54,26.88,8.088614286
207,5.247,2.52,0.1067,8.7,4.327,7.593,26.44,7.847671429
208,5.14,3.327,0.16,10.433,5.347,7.493,27.98,8.554285714
209,4.873,3.76,0.12,11.447,5.92,7.853,27.673,8.806571429
210,4.907,3.713,0.1067,12.42,6.273,7.607,27.413,8.919957143
211,5.14,3.573,0.12,13.327,6.04,7.327,27.5,9.003857143
212,5.953,3.74,0.04,12.733,5.773,6.76,27.153,8.878857143
213,6.46,4.433,0.08,12.267,6.14,6.853,26.82,9.007571429
214,6.62,4.713,0.12,12.793,6.233,6.98,26.327,9.112285714
215,6.7,4.52,0.12,13.607,6.147,7.107,26.46,9.237285714
216,7.247,4.8,0.04,14.167,5.687,7.907,27.34,9.598285714
217,6.267,5.52,0.04,14.667,5.607,8.173,26.8,9.582
218,5.093,5.927,0.0933,14.8,5.007,8.373,26.307,9.371471429
219,4.213,5.433,0.1933,14.347,4.333,8.22,25.84,8.9399
220,3.8,4.953,0.1667,13.02,4.153,7.733,25.853,8.525528571
221,4.207,4.887,0.12,11.68,4.187,7.127,26.147,8.336428571
222,5.053,4.76,0.08,10.073,4.04,6.733,25.827,8.080857143
223,5.553,4.66,0.1067,9.087,4,6.66,25.52,7.940957143
224,6.12,5.007,0.06,10.567,4.853,6.613,26.22,8.491428571
225,5.933,4.8,0.0333,11.193,4.467,6.753,26.873,8.5789
226,5.507,4.8,0.0067,11.747,4.62,7.253,27.813,8.820957143
227,4.933,4.833,0.0067,11.413,4.707,8.2,27.913,8.857957143
228,4.927,4.813,0.0467,10.207,4.88,9.147,26.953,8.710528571
229,5.28,4.58,0.08,9.7,5.433,9.7,26.473,8.749428571
230,5.44,4.113,0.0733,9.853,5.413,9.5,26.567,8.708471429
231,5.213,3.86,0.0867,10.093,4.72,8.98,26.547,8.499957143
232,6.113,4.527,0.0933,10.993,5.167,8.107,25.82,8.688614286
233,6.06,4.48,0.0933,11.52,5.673,7.827,25.4,8.7219
234,5.493,4.46,0.0533,12.153,5.98,7.993,25.013,8.735042857
235,4.587,4.567,0.0267,13.493,5.82,8.213,25.293,8.8571
236,4.113,4.467,0.0933,14.56,5.793,7.867,25.22,8.873328571
237,4.42,4.32,0.0933,15.48,5.98,7.7,24.047,8.8629
238,4.54,3.933,0.04,16.52,5.647,7.307,22.967,8.707714286
239,4.52,3.813,0.04,15.513,4.973,6.773,23.3,8.418857143
240,4.933,3.833,0.0867,14.207,4.307,5.54,24.6,8.215242857
241,4.713,3.98,0.0667,12.687,4.167,5.993,24.52,8.0181
242,4.547,4,0.0133,10.947,3.647,6.453,25.187,7.827757143
243,4.413,3.847,0.0733,9.827,3.333,7.073,25.193,7.6799
244,4.44,3.793,0.0667,8.993,3.613,7.72,24.727,7.621814286
245,4.707,3.7,0.0533,8.753,3.907,8.513,25.653,7.898042857
246,5.14,3.44,0.0467,9.087,3.76,9.033,25.753,8.0371
247,5.673,3.113,0.0533,9.767,3.3,9.033,24.347,7.898042857
248,7.013,3.273,0.04,10.353,4.113,9.153,23.487,8.204571429
249,6.427,3.907,0.08,10.293,4.373,8.62,23.153,8.121857143
250,6.147,4.08,0.1533,9.747,4.613,8.073,23.347,8.0229
251,6.047,3.98,0.18,8.953,4.52,7.993,23.447,7.874285714
252,5.76,4.153,0.1067,8.573,4.387,8,23.1,7.725671429
253,5.84,4.74,0.0867,8.933,4.707,7.787,23.08,7.881957143
254,6.113,4.84,0.1467,8.9,4.807,7.233,23.107,7.8781
255,6.027,4.553,0.2133,8.467,4.767,7.12,22.633,7.6829
256,5.547,4.513,0.1867,10.033,5.713,7.473,22.98,8.063671429
257,4.833,5.093,0.1333,12.12,5.167,7.42,22.72,8.212328571
258,4.887,5.62,0.08,13.867,4.92,7.08,22.167,8.374428571
259,5.653,5.667,0.0933,13.547,4.507,6.94,21.807,8.316328571
260,6.113,5.587,0.06,12.62,3.46,7.34,21.647,8.118142857
261,6.333,5.373,0.0933,12.373,3.127,7.907,21.613,8.117042857
262,6.053,4.5,0.1267,11.833,3.5,7.967,21.513,7.927528571
263,5.333,3.687,0.1867,11.093,3.86,7.78,21.413,7.621814286
264,6.34,3.693,0.14,9.907,4.387,8.693,21.833,7.856142857
